gene_id,WGD,group,H3K27ac_down,H3K27ac_up,H3K27ac_genebody,H3K27me3_down,H3K27me3_up,H3K27me3_genebody,H3K4me3_down,H3K4me3_up,H3K4me3_genebody,avg_expression,tau,gene_cds_gc,promoter_gc,rec_rate,te_dist,TEGroup_1,TEGroup_2,TEGroup_3,TEGroup_4,TEdenseAvgUp,TEdenseMaxUp,TEdenseAvgDown,TEdenseMaxDown,CG_up_ave,CG_down_ave,CG_body_ave,CHG_up_ave,CHG_down_ave,CHG_body_ave,CHH_up_ave,CHH_down_ave,CHH_body_ave,CG_up_max,CG_down_max,CHG_up_max,CHG_down_max,CHH_up_max,CHH_down_max,summit_fold_enrichment,upstream_distance,downstream_distance,Ka,Ks,omega,location
Bra030501,0,I,0.4708248461022265,-0.0703004538584128,-0.2539067809767244,-0.2658690911272528,0.3893369614260875,-0.151288893952676,0.7135132685168607,0.361324024018832,0.2161661220791815,2.911348830001152,0.4282172654968076,44.2080378250591,42.35294117647059,16.0,2505,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0064568254237288,0.0216931285714285,0.0038314137931034,0.0017006785714285,0.0041011578947368,0.0079364999999999,0.0029478494047619,0.0130720887499999,0.0028656816455696,0.0833333,0.388889,0.047619,0.047619,0.103175,0.822222,4.56695,607.0,23337.0,0.0677,0.3282,0.2064,1.0
Bra030507,0,I,-0.2084355943740851,0.009663875326458,0.4513475922685915,-0.1405365146507667,-0.0547970556776729,-0.1146221773346264,-0.0677227700937175,-0.0357377261142861,0.7612644006190563,2.999876933229752,0.448980921272734,46.78001030396703,21.764705882352946,16.0,3002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023809520833333,0.0059523785714285,0.0,0.0026537718749999,0.0051282076923076,0.003521128169014,0.0025259123287671,0.0,0.0,0.0666667,0.0,0.0666667,0.111111,0.111111,6.34478,91.0,23047.0,0.0899,0.5862,0.1534,1.0
Bra030509,0,I,0.2890123198392925,0.1440827833491429,0.7812033112967314,-0.1207899413610689,0.1651649315915024,-0.0834556626884851,0.0849199854350114,-0.0060662326961283,1.2852298584659436,7.393073291322565,0.1245599139446758,51.2937595129376,37.05882352941177,16.0,3467,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5881448125000001,0.0,0.0047619028571428,0.185173652173913,0.0,0.0,0.0142472044247787,0.0011261256756756,0.0035371712230215,1.0,0.0,0.888889,0.0,0.444445,0.0833333,6.34478,49355.0,6298.0,0.0283,0.6947,0.0407,1.0
Bra030510,0,I,0.5043539916149051,-0.5050915973519757,0.0052416824385359,0.0095742011028697,0.3654737690151703,0.3437277156419293,0.838686597646427,-0.3527095850414152,-0.142248725110728,1.3276126419942131,0.9789310001479892,46.87252573238322,25.882352941176475,16.0,5027,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0122389315789473,0.0042735025641025,0.8276896111111112,0.0012820523076923,0.0056847441860465,0.394659375,0.0026269461139896,0.0050217321428571,0.0270544024096385,0.5,0.0833333,0.0416667,0.133333,0.0833333,0.111111,6.34478,46637.0,8340.0,0.1002,0.4982,0.2011,1.0
Bra030517,0,I,-0.0529186134621414,-0.2146885079380141,0.0491270710266016,-0.1117884771958782,0.0061157244956015,-0.178836599706649,0.0732163068337058,0.156942357073117,0.2647610634015732,1.9825552917219047,0.2560529646320476,45.71734475374733,42.94117647058823,16.0,598,0.0,1.0,0.0,0.0,0.41764999999999985,1.0,0.0,0.0,0.1633976047619047,0.0081018458333333,0.002604165625,0.0326389625,0.0037878772727272,0.0041717564102564,0.0044444492307692,0.0032567017241379,0.0017912755813953,0.904762,0.111111,0.205556,0.0833333,0.0666667,0.122222,5.71948,29499.0,22144.0,0.0688,0.4249,0.1619,1.0
Bra030520,0,I,-0.1587842751416144,0.1749950338237703,0.5070401412860569,-0.306642311083191,-0.0180788962408905,-0.4265453571993246,0.0815432913046959,0.1970496816353556,1.2161372213560069,5.448207270699324,0.0776016377613503,49.84350547730829,38.82352941176471,16.0,696,0.0,0.0,1.0,0.0,0.6755000000000001,1.0,0.0,0.0,0.7190585324675322,0.144902125,0.0090557512820512,0.436785726966292,0.0022486797619047,0.0,0.0719876831460674,0.0013874563467492,0.0015966376470588,1.0,1.0,0.958333,0.0666667,0.883333,0.0833333,5.71948,14967.0,39983.0,0.0673,0.6827,0.0986,1.0
Bra030545,0,I,0.1483712503648583,-0.4578165503578919,-0.4582341299546005,-0.0789181728540342,0.2348258363363355,1.0945228309982065,0.6590878732407751,-0.3033233700286665,-0.2329276566083296,1.5457800712660972,0.8111362676199214,46.31578947368421,40.588235294117645,16.0,4714,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0189845101694915,0.0,0.0,0.0036728383333333,0.0057692307692307,0.0,0.0025181906040268,0.0029411764705882,0.002898552173913,0.916667,0.0,0.0833333,0.0833333,0.111111,0.0833333,3.81299,14882.0,33047.0,0.1372,0.2655,0.5165,1.0
Bra030546,0,I,-0.4752857734077504,-0.2656010920046971,-0.2849774939793577,0.6299312143478428,0.0906294130147343,-0.1827443449477234,-0.2961912497262714,0.4635268234926957,-0.077236306124359,5.708399970114563,0.1860440975294213,48.904267589388695,34.11764705882353,16.0,6422,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028992823529411,0.042270552173913,0.015873,0.0031869069767441,0.0036848102040816,0.0026881709677419,0.0018737665289256,0.0029222336244541,0.0,0.0666667,0.111111,0.0666667,0.0833333,0.0833333,3.81299,11780.0,34755.0,0.0149,0.3136,0.0475,1.0
Bra030555,0,I,-0.0123640773674784,0.4689870965879847,-0.0636780765423968,-0.2814151922161134,-0.1474254626658626,-0.2349382634750626,-0.3441074557159792,1.0584249747470835,0.2238616569109002,4.791103334436263,0.1314999254264816,48.124467178175614,45.294117647058826,16.0,2667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1618638403846154,0.02777775,0.0,0.0050981605504587,0.0,0.0051198235294117,0.0030887923076923,0.0,0.0,0.111111,0.0,0.0,0.111111,4.53947,9104.0,12109.0,0.0679,0.3215,0.2111,1.0
Bra030556,0,I,0.3609469070234972,0.7091488472664116,0.0260759518717882,-0.16602936705314,-0.1023432309279339,-0.1120241517886328,0.4725969391706641,1.3558243863985158,0.0996166489607562,1.887133516328819,0.3269200880854875,46.90327070285317,45.294117647058826,16.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.14450000000000002,1.0,0.1410714071428571,0.1711538269230769,0.0,0.0107485025641025,0.0870105763636363,0.02777775,0.0043803394230769,0.0944401675257731,0.00925925,1.0,1.0,0.111111,1.0,0.111111,0.833333,4.53947,17558.0,2936.0,0.0328,0.5012,0.0655,1.0
